svm_mean,svm_std,d_svm_mean,d_svm_std
9.781025272,0.506544392,0.144646963,0.24241114
9.544266343,0.233353066,0.077224452,0.146007905
9.538671931,0.03402427,0.034400413,0.028882099
9.539803376,0.032380628,0.031770136,0.026268288
9.52506587,0.037458731,0.030658964,0.023689835
9.524268305,0.035707769,0.030081374,0.022476215
9.539852408,0.029591589,0.028826707,0.022603979
9.539511821,0.029701797,0.027126622,0.023244381
9.536924068,0.031231552,0.028507909,0.024162238
9.537447711,0.032412527,0.032008913,0.024546706
9.540153039,0.031318545,0.030235298,0.024348027
9.54005609,0.030807637,0.029164899,0.024096168
9.540599411,0.031421713,0.032133099,0.024843725
9.539558014,0.033837301,0.034579942,0.026853783
9.540277596,0.033244782,0.035610794,0.025886695
9.541768073,0.030648219,0.033813933,0.023937814
9.542538984,0.029783856,0.031004912,0.02352478
9.54472215,0.028352409,0.028752133,0.023006392
9.547075096,0.027478142,0.028072059,0.022005576
9.54400165,0.028526924,0.029055087,0.022315262
9.542448886,0.028195911,0.028895308,0.022321134
9.542412568,0.029499199,0.03087222,0.023176479
9.540873228,0.030549005,0.031732251,0.025456099
9.542122073,0.028980646,0.029250143,0.024169286
9.541341938,0.029160945,0.028222062,0.022379836
9.54079469,0.02857573,0.028282489,0.021939589
9.542364984,0.028261973,0.029494289,0.022208318
9.544213291,0.027966604,0.030278408,0.02271739
9.543175772,0.027970129,0.029218259,0.022002807
9.539320665,0.252471611,0.09205106,0.233708568
9.514115684,0.253257765,0.089805561,0.234212701
9.492786081,0.024943519,0.02489925,0.019907441
9.494552166,0.025504629,0.024809308,0.020310308
9.492834045,0.025511294,0.025250766,0.020290779
9.491050139,0.027177062,0.026877404,0.02098129
9.491192762,0.027804922,0.027052779,0.02194219
9.491989664,0.025978519,0.027963082,0.021257319
9.492299186,0.026483589,0.029274584,0.020467098
9.492662951,0.02531942,0.026171388,0.019547332
9.491745134,0.024795993,0.02442441,0.019485041
9.490866339,0.026140612,0.026434788,0.020395625
9.49254807,0.024185073,0.025299855,0.019194416
9.494526117,0.02419103,0.024910321,0.019347835
9.493159054,0.026864717,0.028411829,0.022685583
9.492235525,0.027132296,0.028257154,0.022367423
9.494163598,0.026514275,0.026561979,0.020501592
