svm_mean,svm_std,d_svm_mean,d_svm_std
9.632623103,0.022431177,0.023014951,0.018022128
9.630536372,0.02272313,0.024682204,0.019670443
9.627047028,0.022883642,0.024807591,0.01881253
9.62693063,0.02230666,0.023404698,0.017742448
9.628808558,0.021968052,0.023479454,0.018962033
9.627624195,0.022221546,0.024256043,0.018131714
9.624060219,0.022295109,0.025362321,0.018030882
9.622737323,0.021761855,0.0243954,0.018173932
9.621533705,0.02217394,0.023532764,0.017326392
9.626190837,0.026324303,0.027245873,0.021181899
9.633265361,0.027317528,0.030954714,0.022692549
9.633410204,0.02362106,0.026799968,0.019859342
9.630850882,0.021385284,0.023004979,0.017956655
9.626823683,0.023369246,0.025303705,0.020033677
9.627679561,0.024081016,0.027352578,0.020235435
9.630714474,0.021940472,0.025207497,0.017690903
9.630380405,0.035790755,0.031570006,0.041440583
9.6221444,0.064825447,0.046069696,0.067917084
9.608453232,0.059628682,0.041392812,0.058798684
9.602608689,0.027612849,0.029324543,0.021857235
9.602565925,0.032757681,0.03158526,0.034314529
9.598514657,0.03782096,0.035767507,0.03807679
9.592459726,0.035853901,0.035318938,0.029394769
9.587714948,0.031475587,0.031576583,0.025180692
9.586596734,0.025497739,0.027622062,0.020935928
9.586408882,0.023998124,0.026146142,0.019413491
9.584333403,0.023536147,0.024375961,0.019917608
9.58633071,0.023925527,0.025179447,0.020215491
9.586997155,0.023429402,0.025808457,0.01926845
9.586433817,0.024707955,0.026375798,0.020596946
9.585299993,0.026316064,0.027292315,0.021614103
9.583033249,0.064332794,0.044952561,0.055200757
9.578137291,0.063726373,0.043026496,0.055138781
9.569728168,0.023728718,0.023506632,0.017182442
9.565590501,0.02535408,0.026066124,0.019887554
9.56872343,0.025107061,0.0264603,0.020142816
9.571308931,0.022997264,0.025536428,0.018354092
9.569162898,0.023163499,0.026699275,0.018544389
9.567893847,0.023224334,0.026222587,0.017950329
9.567834344,0.024285402,0.025741575,0.019941717
9.567840273,0.025563652,0.026513167,0.020693161
9.568667081,0.023717078,0.024905023,0.018826158
9.57166951,0.021843709,0.023682202,0.016903526
9.572511575,0.022081685,0.024236488,0.017149095
9.572014614,0.028268914,0.028631213,0.023680343
9.571686347,0.030094713,0.03140686,0.02482924
9.568474371,0.025655725,0.027811861,0.021050593
9.568220941,0.023971572,0.026023952,0.019104734
