svm_mean,svm_std,d_svm_mean,d_svm_std
10.06574909,0.372346521,0.145088256,0.23311686
10.15154786,0.415391167,0.178160165,0.297239744
10.18310293,0.355541585,0.12748992,0.271362366
10.15883894,0.025523713,0.026291971,0.019698457
10.15238861,0.026079481,0.02747383,0.021846232
10.1472509,0.027835934,0.02906061,0.023145648
10.14645297,0.024993655,0.026243969,0.020712027
10.14595141,0.024607245,0.026463952,0.020240012
10.14224507,0.026517829,0.028968678,0.022059218
10.13831751,0.028175983,0.031221522,0.02368342
10.1378156,0.031172213,0.033984693,0.028178068
10.1399513,0.03819639,0.039444855,0.034035546
10.14231403,0.040009093,0.041567591,0.033765502
10.14174383,0.031883279,0.032929501,0.027738387
10.13906412,0.024222269,0.025135651,0.020322847
10.13432729,0.02453321,0.026402062,0.020920242
10.13118935,0.024575957,0.027866804,0.02100055
10.13142327,0.022326714,0.0240264,0.018106713
10.13102474,0.021179041,0.021852767,0.017563699
10.12980699,0.020938133,0.023227426,0.017604496
10.12886401,0.021789582,0.025656199,0.019174993
10.13087019,0.030543224,0.031835247,0.027890442
10.13025312,0.030720393,0.031677306,0.027531755
10.12941442,0.022487032,0.024401137,0.019823464
10.13015556,0.024193777,0.025999599,0.021917252
10.12949637,0.024199197,0.027315962,0.02148059
10.12833805,0.022308012,0.026156997,0.019720592
10.12673678,0.022929079,0.027532493,0.019907325
10.14230073,0.093387208,0.058941167,0.088443066
10.1537309,0.093226341,0.060485378,0.088621078
10.14873333,0.030254023,0.031546726,0.025710502
10.14735101,0.026624109,0.029073026,0.023073531
10.14381549,0.022074175,0.024039045,0.017476338
10.15539713,0.091718835,0.041426707,0.055464578
10.16608541,0.095172532,0.049334064,0.056868202
10.15403149,0.043068511,0.038743509,0.033309785
10.14278133,0.033048513,0.033679104,0.02891724
10.13702264,0.026669286,0.028841507,0.023131261
10.13478394,0.027363474,0.029781216,0.024378207
10.13612026,0.028148091,0.03029354,0.024108678
10.13454791,0.029548463,0.032025407,0.024254528
10.13367093,0.029965513,0.032288724,0.025490648
10.13404465,0.027755886,0.030605277,0.024355923
10.15588629,0.102739275,0.054153518,0.073186522
10.22283196,0.301564921,0.150144815,0.238973
