svm_mean,svm_std,d_svm_mean,d_svm_std
23.51620841,20.67353188,4.11925755,6.9615581
34.96378084,21.11827602,8.55465263,8.787343141
26.57172677,18.87526281,7.471532457,8.443331379
30.4879442,20.18469813,6.741204951,7.04659791
36.29323702,19.99909903,8.259062731,8.486698021
25.5599678,18.58994955,7.189008822,8.768920442
18.22778266,13.98523317,4.989883455,6.605896974
19.56798358,14.43818713,5.377294603,6.517828873
21.88188602,15.71024149,6.383176485,7.065993095
22.10994783,15.56701337,6.118695613,6.76243198
25.0260706,16.24314621,6.296982331,6.820842392
28.02897073,17.15500918,7.38027431,8.144329215
24.06978022,16.29363804,6.646156067,8.226547164
23.80085193,15.85628692,6.465976722,7.204476822
26.25634983,15.98346198,7.12810782,6.9148956
21.79106412,13.98672926,5.73204116,6.14383512
19.59384383,13.07292016,4.688863338,5.494531714
23.84513573,16.14705198,6.317057634,6.944382745
25.52322531,16.64699158,7.385393969,7.569132722
