svm_mean,svm_std,d_svm_mean,d_svm_std
19.68030881,11.96576526,4.036473843,5.55578313
18.29332093,11.44926411,4.066884881,6.321324981
19.08615962,13.63341014,3.87040137,6.037555116
19.62733278,13.46939368,3.39447849,4.868661092
18.97502562,11.92765422,3.857022473,6.088872165
19.58293948,12.85143269,5.323051117,8.486407676
17.66199304,11.00036144,4.511369674,7.629432867
17.59475016,10.46994282,3.175484658,5.33847756
22.40061476,16.21810582,4.218116676,5.436849866
23.64229287,17.68643212,5.196199087,7.524926083
22.35572619,14.92553215,6.7705776,9.238381077
22.86514268,14.12287262,6.716419999,7.416465284
24.27433601,14.47085343,6.558920158,7.183640698
25.35347108,14.76912347,7.82003861,10.05456571
29.57990102,17.90548376,10.11421008,11.34671443
27.3922991,18.47563381,9.332595876,11.13544852
24.99922129,16.39233847,7.120963501,9.641886823
21.20646775,14.9576094,4.964470204,7.638572836
18.95591964,15.13048257,6.051805225,9.101374603
25.07033262,16.27915236,8.059586662,9.50335509
24.56395958,15.49383511,8.713564675,9.875913959
20.10015675,13.82651245,7.664568994,9.215295442
13.90417734,8.072656673,3.707216837,5.739248846
12.65210074,6.835220201,2.174327535,4.11607891
16.24098021,10.5635849,3.226062181,5.592026548
20.67148285,12.8874471,5.325461098,6.965773063
23.2708483,13.80883848,6.568865012,7.48798261
25.22549545,15.49874086,7.69426338,10.11977047
