svm_mean,svm_std,d_svm_mean,d_svm_std
27.70724604,23.3933448,5.563451799,8.708523742
16.15965396,14.59738044,4.418600096,9.304411462
14.66227748,12.34001977,3.727253034,8.429778264
12.93938266,7.732467672,2.217548533,5.137983079
14.55499658,9.151983678,2.268002007,4.179820133
14.74951595,11.44371746,2.693444496,6.337001254
16.16190885,13.17273236,3.917630788,9.454527057
14.14963662,10.32269373,2.83571608,8.183118863
14.088998,11.45780963,2.860000137,6.297408098
16.61458998,14.6741152,4.577253946,8.879707501
12.89320142,10.41952153,2.330150596,6.784383615
11.28323472,6.25447855,1.299220223,4.204588076
16.56715532,12.20872092,3.876673907,7.580548767
17.53955044,12.50397728,3.821261238,6.85532175
13.67993658,9.179926391,2.172633788,4.707945709
15.57649153,9.759143687,3.813082717,6.867450681
16.69066525,10.35273076,4.560767463,7.929050855
15.57137079,10.27204983,4.608405966,8.600115161
13.7783689,9.055329581,3.900765037,8.410195183
11.37967952,5.48478719,1.956659454,5.602580707
12.42634309,7.200638362,2.365740763,4.8311236
