svm_mean,svm_std,d_svm_mean,d_svm_std
12.157975,9.559105,4.290608,8.414057
12.581662,9.564922,4.646883,8.610682
12.273741,9.38002,4.432014,8.519629
12.162113,9.56989,4.360476,8.861025
12.53318,9.619802,4.380556,8.7253
12.40689,9.892561,4.563971,9.167952
12.384855,10.112954,4.783743,9.296294
12.10545,9.447765,4.328215,8.254173
12.242622,10.08273,4.662075,8.690355
12.606997,10.19892,4.802864,8.924772
12.236839,9.345139,4.213416,8.174975
12.02831,9.182286,3.965032,7.920278
12.589617,10.055873,4.62825,9.254533
