svm_mean,svm_std,d_svm_mean,d_svm_std
10.24442516,3.447375137,0.943888618,0.986781944
10.63789151,5.13357991,1.375294149,1.246725428
10.59719319,4.844883546,1.292605178,1.295527138
10.674109,4.77188897,1.483050174,1.497390658
11.0367297,6.028126616,1.877686162,2.251753302
10.87017052,6.98827215,1.970591699,2.526076742
11.18108725,6.71276938,1.889451265,2.038231472
11.09680931,5.099931493,1.485456344,1.602196245
10.52222139,4.30869876,1.318043494,1.659546229
10.46995037,5.188164471,1.565791484,2.248050431
10.73139969,5.52927922,1.65051633,2.379604036
10.67458715,5.475443363,1.556164242,1.868131092
10.62245625,5.08631546,1.433275846,1.450903663
10.83464553,5.300902268,1.461781155,2.092588477
10.54146295,5.779794115,1.559732564,2.183124847
10.6139529,4.94184737,1.396761869,1.61873902
10.75968486,4.328170536,1.252424425,1.320350341
10.73997443,5.025547684,1.349319897,1.353549673
10.89995948,5.123475908,1.45372452,1.58468097
