svm_mean,svm_std,d_svm_mean,d_svm_std
32.36177604,19.59510709,7.940459379,8.01170101
29.72836083,18.0698994,8.219475845,8.197652041
24.14324908,15.98715855,6.72252943,7.403783557
25.64575352,18.03022991,7.955364456,9.386913465
29.90523615,18.89359846,8.885399143,9.73326399
26.10356042,17.52566951,6.948258874,7.532557571
23.26403452,15.72892305,6.45516312,7.174699541
25.90337184,16.31253881,7.665256747,8.444596464
24.50275828,16.38325336,7.941384726,8.64770154
22.63176814,15.95300518,7.025907295,7.674439635
25.64724681,17.36231072,7.333230997,7.663121483
26.99628817,17.20663586,7.920683594,8.111877014
23.15667326,14.93183539,6.736381094,6.915299513
24.31585213,15.1037824,6.688820659,6.789275103
26.32362332,15.32730897,7.019281686,7.068462484
24.34680822,14.72752651,6.9853706,6.812230291
21.46850221,14.95123034,6.401335846,6.962997636
22.99854322,16.01161641,6.524693125,7.006946725
25.45272849,16.04782909,7.277954506,7.524296227
