svm_mean,svm_std,d_svm_mean,d_svm_std
10.17145957,2.680768218,0.763884262,0.889569669
12.79901012,6.746691042,2.678756295,3.091467288
14.80072433,7.592626207,4.245932866,3.035478765
13.97388235,6.661666681,4.137542858,2.818536181
13.45526084,6.44265018,4.123001638,2.856848583
13.86290592,6.629269325,3.680178752,2.855640512
13.74939218,6.57427143,3.594750528,3.029352309
13.65476865,7.096692046,3.878652703,3.006375205
13.89657022,7.317805478,3.956237324,2.955627587
13.51570425,6.435356303,3.805159266,2.822169502
13.58899487,6.158089454,3.657554005,2.813257466
14.06228975,6.729947062,4.049985821,3.102611152
14.35414395,7.735567672,4.427047881,3.234611662
14.56318767,8.227413066,4.364122912,3.157826165
14.62773638,8.510436818,4.589869945,3.234049096
14.87903877,9.156226574,4.881449203,3.630059989
15.10695603,9.22597737,4.514300676,3.544035775
14.752974,8.340194253,4.195362004,3.152228559
14.6177007,7.92115141,4.112194749,3.006018116
14.76917235,7.985031947,3.967282961,2.80860543
14.31945382,7.681313021,3.80337179,2.837654552
14.29765264,7.613253519,3.869506153,3.158840651
14.9454707,7.961755337,4.240214945,3.403936723
15.2101535,7.834013398,4.338961766,3.259191126
15.23064698,7.165425522,4.559005578,3.185010636
15.0716896,6.454253707,4.614881097,3.253533159
14.91646006,6.097091732,4.458347304,3.109669379
14.82887489,6.792564709,4.535957391,3.413583114
14.72651205,6.853392907,4.51546792,3.429145451
14.92146247,7.461218659,4.586719413,3.499987898
