svm_mean,svm_std,d_svm_mean,d_svm_std
11.4822227,4.302868918,2.159161187,2.246597375
12.04017451,5.045301146,2.524320218,2.275360226
11.79579064,6.502841251,2.577286415,2.107492916
11.54912566,7.912492091,2.58195666,2.059622318
12.12806517,9.047642634,2.778248171,2.145236614
12.90767481,9.396967223,2.887364929,2.174481853
13.39356851,7.880759493,3.314460398,2.582977075
13.17268835,7.074920195,3.962965602,3.021777855
13.57345572,7.473902853,4.326934226,3.320928401
14.08393567,8.629690949,4.560169813,3.579655074
14.05035431,8.934176818,4.596575848,3.466491019
13.69338083,6.920738317,3.970266204,3.116002762
12.52007885,5.410961815,2.711583951,2.583334536
11.49408643,5.926906804,2.089476486,2.000355657
12.26112226,6.373515849,2.799261768,2.396444197
12.65279692,5.674518694,3.054388122,2.516172724
12.37827472,7.348065831,3.196186561,2.952685011
12.55054248,8.62133112,3.362011353,2.93494209
11.98779215,7.163043496,2.944642362,2.395722713
11.95465027,5.381580955,2.893344621,2.591415868
12.28495274,6.697888404,3.499621025,3.059324437
12.28547335,7.884235253,3.546138165,2.87601647
11.82096767,7.902114951,2.852225399,2.217710482
11.8608804,7.827924088,2.707066203,2.118040947
12.71726453,6.933029743,3.072927675,2.501310019
13.07895967,6.195128067,3.177509194,2.585105549
12.93288408,5.744626291,2.797777306,2.480915972
12.41111058,6.03190257,3.010819832,2.775329239
11.85140288,7.02725245,2.989378986,2.58001784
11.49350697,7.538622274,2.548290385,2.027700903
12.05957893,7.254181603,2.665313638,2.040948049
12.58249713,6.408344296,2.558244972,2.093271313
12.55983809,6.670709138,2.589279016,2.047304132
11.63681367,6.419630949,2.415867608,1.990175931
10.38855038,5.678393524,1.974864413,1.761824596
11.65752804,6.05170873,2.157622472,1.810371507
12.00326617,6.533792809,2.213936054,1.756138158
11.59185474,7.001880831,2.081710598,1.635372828
12.22604862,6.395298605,2.391353388,2.221301883
11.86923563,5.839692406,2.797080255,2.696869177
11.85565381,6.55345525,2.847989346,2.61345444
12.24893281,6.969691845,2.619863025,2.257501554
12.25002142,6.150530768,2.13419234,1.88679509
