svm_mean,svm_std,d_svm_mean,d_svm_std
12.15561088,8.90672278,4.193833866,7.891837155
10.90316845,7.198777424,2.57934019,6.94727067
10.21821749,4.6594696,1.380847663,4.068167415
11.59260406,8.443446131,3.560773042,7.770475503
13.01823076,12.01860006,5.634138319,11.35942413
13.71392518,12.63495039,6.101971392,11.91504279
14.14992042,12.55254829,6.435638861,11.55366533
12.8259776,10.84537329,4.729326486,10.22761298
10.65217969,5.824838872,1.8059303,5.639897458
10.82335236,5.396543979,1.690430155,4.658663622
10.92908549,6.138783353,2.041393552,5.288608275
10.56526605,5.061203102,1.807450047,3.607078248
12.8093128,10.4779177,4.416789926,9.447129338
14.56152759,13.70883317,6.95747687,12.96559146
14.24430387,13.73198278,7.075873027,13.06451218
14.07383254,12.88362498,6.720231856,11.57621457
13.7406838,12.18791023,6.217516164,10.91485788
14.04245269,13.34875291,6.539854325,12.05274814
13.4134133,12.6475603,5.531063466,11.51110445
11.13790496,7.811554349,2.353976136,7.356113467
10.84818635,5.268357104,1.646904832,4.719698846
12.35107869,9.682795584,3.970981902,9.113014942
13.23757662,12.73485952,5.923209081,11.7529928
13.2538569,12.66857013,6.05465555,11.53547631
13.18422775,11.36138441,5.296715864,10.29036257
14.09458241,12.5236208,6.347961913,11.03060123
15.33054847,13.880747,8.061267972,12.13509958
16.06879439,13.67716009,7.901233173,11.99052034
13.20717892,10.04244571,4.212096614,8.883211924
10.65663896,6.881180322,2.13410549,6.612951014
12.13358888,10.53422568,4.486536544,10.02793788
11.33790786,8.674651141,2.966814319,8.437629783
10.54478191,3.762280017,1.41931885,3.188916938
11.04235361,4.875715849,2.276554077,4.275180226
11.97548693,8.183785884,3.711663774,7.596736056
12.25993845,9.054407949,4.237782965,8.622515786
11.1964843,6.576804874,2.815601271,6.519918692
11.6646539,7.173302536,3.195268216,5.970305958
12.7723405,10.10985884,4.819024785,9.150571072
14.04597001,11.45094722,6.03592472,10.08553827
15.11627057,12.26521687,6.753381285,9.542606633
14.78842203,12.54153896,6.434409931,10.12309078
15.58545537,13.06881391,6.716718821,10.77792878
14.74800987,11.85389203,5.814626684,9.834877483
13.12967915,11.06571226,5.078455377,9.96439233
13.53553338,12.243804,5.703342985,10.40364936
14.48675906,12.2071482,6.312818476,10.1766885
15.1395,12.88063147,6.88611775,11.25313716
13.83167583,11.56528538,5.49982607,10.13342118
13.24389759,10.15326881,4.627355308,8.112647933
13.52358728,10.83881582,4.911138487,8.237238395
11.71254262,8.243674677,3.107317524,6.614962292
10.77813309,5.117326763,1.654677701,4.630259123
10.10186665,4.156090071,1.040496622,3.88776649
10.37587334,4.69197237,1.235114443,3.890591421
11.19192806,6.682737401,2.098086887,5.775556268
