svm_mean,svm_std,d_svm_mean,d_svm_std
10.38409626,3.69355651,1.295932759,2.94627196
9.869101764,1.630545411,0.84084844,0.689165838
10.02892191,1.853991714,1.010679357,0.837561499
10.21160647,2.031547986,1.068692276,0.955334793
10.08802478,1.646677463,0.867617537,0.837171727
10.06867401,1.121028967,0.727764516,0.594428267
10.07132464,1.000975383,0.644795559,0.507984864
9.994834211,1.014344181,0.618717986,0.522286112
10.04389801,1.174965592,0.724568761,0.627076933
10.05157089,1.178353197,0.690358156,0.597548731
10.00796156,1.347885779,0.673495164,0.538172481
9.999287195,1.411412456,0.798171763,0.608843961
10.06073858,1.317666062,0.821923538,0.623111311
10.09652369,1.409191138,0.775091298,0.612201919
10.00583465,1.259197712,0.667688567,0.560396432
9.907948814,1.227571986,0.588367066,0.491435995
9.954149446,1.276273083,0.572953389,0.466860678
9.883414588,1.454695849,0.592065508,0.468314212
9.871609289,1.738276128,0.70506577,0.642981286
9.978791155,1.568278368,0.659433645,0.637311162
9.888593776,1.298220703,0.597358526,0.470687785
9.90743521,1.494343835,0.668265437,0.547890327
9.955824045,1.489033215,0.607009609,0.540195226
9.889405226,1.202356462,0.539606428,0.436523604
9.879099799,1.212338863,0.555509356,0.464191982
10.00043076,1.745966885,0.702965357,0.624578232
10.00480412,1.92456642,0.83864423,0.698301247
9.953133277,1.649410994,0.828022463,0.681384863
9.938983024,1.225965497,0.663564912,0.575139153
9.893148121,1.065001759,0.530256395,0.433613409
10.01780179,1.18220669,0.614578774,0.570458044
10.12729231,1.728125918,0.748335436,0.737180964
10.04070796,1.787702576,0.656182954,0.693872227
9.901738129,1.778361633,0.702423,0.655013008
9.872267731,2.206240382,0.941544787,0.746391267
9.97963336,1.745532099,0.779001631,0.674988491
9.967719407,1.086331217,0.555257795,0.450099575
9.938832119,1.024234848,0.567816094,0.43887959
10.02645949,1.023678724,0.694709964,0.563236374
10.06185783,1.341882749,0.854659892,0.669238
10.07791087,1.459062901,0.9008496,0.673454913
10.08628123,1.235573049,0.76864147,0.600201888
