svm_mean,svm_std,d_svm_mean,d_svm_std
10.26431195,5.364966062,1.685863426,2.135077841
10.31157915,4.770012783,1.517496927,2.140134743
10.05719047,4.309378541,1.247900307,1.207720793
10.57072863,4.868370138,1.57784662,1.600142174
10.72303066,4.753224156,1.554474055,1.695546772
10.61878334,4.907418284,1.490494586,1.615422511
10.87297791,4.964757321,1.669367521,2.048277034
10.69822192,4.772587344,1.514884479,1.947070498
10.63896338,5.483737799,1.573653349,1.732540506
10.77462073,5.328800798,1.693764956,2.028558073
10.41559255,4.293980549,1.625665924,2.013748529
10.21457709,4.970952155,1.857388198,2.033761703
10.84706571,4.951171641,1.627717824,1.822530993
11.18834903,4.282601441,1.280493265,1.325173985
10.99851975,4.489296521,1.489237809,1.530682745
10.36540912,3.977110197,1.333364514,1.407322177
10.50533085,4.697378266,1.433363605,1.674624348
11.08091958,4.804811324,1.673230417,2.059236334
10.92406737,5.290459341,1.685879731,1.899699622
11.2795274,6.354504892,1.777972382,1.724296945
