svm_mean,svm_std,d_svm_mean,d_svm_std
16.25979831,9.518713787,4.857844059,7.057384588
17.61926263,10.93902436,5.390154523,7.501426368
17.10080707,11.1791226,4.909346849,6.917847432
16.44951322,12.4811428,5.526810313,10.73398027
14.90321623,11.12716865,5.040969487,10.23033787
13.48225643,7.920185366,3.379049691,5.583834848
12.98119287,6.95935672,2.843256798,4.375187496
15.72209696,10.28913811,3.557702649,5.529774888
16.72166709,11.27700719,4.167000853,7.281179491
14.96392714,10.19043035,3.965644755,6.993668983
14.91209411,10.02567868,3.911456259,6.267163464
14.79086081,8.989381567,3.971637291,6.210377767
13.8413416,7.837671123,3.291717449,5.566495973
14.63390937,9.198743275,3.018721593,5.089092219
12.83133852,8.002150426,1.756408138,3.066036658
11.48523182,5.474016155,2.297607439,5.813087906
14.0091624,8.724810042,4.270223739,8.05041853
16.49617475,11.21926643,5.651081006,9.40945254
14.11021347,9.631270668,3.920653233,8.010913166
11.78808595,5.921332328,2.061110072,4.610850321
12.84811552,6.845965296,2.656526071,5.15927188
