svm_mean,svm_std,d_svm_mean,d_svm_std
9.759554263,1.360680539,0.276328092,0.832079167
9.746960112,1.360526927,0.271165739,0.83337518
9.693312462,0.030188745,0.030066196,0.022915604
9.693178189,0.028875131,0.028920573,0.020899074
9.699330176,0.06526054,0.04201327,0.097539486
9.701823358,0.083873958,0.05478402,0.110307727
9.705070406,0.059837407,0.040132133,0.038601943
9.701043562,0.029957742,0.031018637,0.022905262
9.69950163,0.028496255,0.029458061,0.022314816
9.704068665,0.028074543,0.028393149,0.022085554
9.706939024,0.02828397,0.029063883,0.021171868
9.706985122,0.027701575,0.028095654,0.021135374
9.706719713,0.02837176,0.028355456,0.02273105
9.704688232,0.028060362,0.02906267,0.022223642
9.702060829,0.028154705,0.029738115,0.021330311
9.704603021,0.029941975,0.031073623,0.022426415
9.706652766,0.029117257,0.029458644,0.022353156
9.70477324,0.029977595,0.030250548,0.02294183
9.70404904,0.028793986,0.03008765,0.022411915
9.704211679,0.027279563,0.028308539,0.020716238
9.705691629,0.027668661,0.028490528,0.021514041
9.707750732,0.026591143,0.027332663,0.020432189
9.705723538,0.027324362,0.026340064,0.02019597
9.703946472,0.027442341,0.025696217,0.021353297
9.70679589,0.026155335,0.025906442,0.02032077
9.706353826,0.02817422,0.028907613,0.021141699
9.704988947,0.029066895,0.030023907,0.021936507
9.706273886,0.028108472,0.029425752,0.02184837
9.70910273,0.02823926,0.028954407,0.022025391
9.709756198,0.0275958,0.028562387,0.020853534
9.706737567,0.027977879,0.028430691,0.021002223
9.70775611,0.029373506,0.028989995,0.023907055
9.706430138,0.030856738,0.031802916,0.024469264
9.705525093,0.031843667,0.032327897,0.024185312
9.707417529,0.04588038,0.039735278,0.045231925
9.711851107,0.068235761,0.05198999,0.062743389
9.717066165,0.05873615,0.042732467,0.051798123
9.71691861,0.028925163,0.030758461,0.0227224
9.716979558,0.029862137,0.031039706,0.022945796
9.718480349,0.030115617,0.029929583,0.022417507
9.718819772,0.028226917,0.029067322,0.022709415
9.717843798,0.032057012,0.03233086,0.030879021
9.719754244,0.031365351,0.031177584,0.030283393
9.721638869,0.027324448,0.02704929,0.021434633
9.721393081,0.029770731,0.028337496,0.021864052
9.723907378,0.034535546,0.03280835,0.025031061
9.72796903,0.033033263,0.032109466,0.02512741
9.727831223,0.027420432,0.02901222,0.022208001
