svm_mean,svm_std,d_svm_mean,d_svm_std
27.35836815,9.608330508,3.041287655,2.576991515
24.8293919,10.53799814,3.10477349,2.920406383
23.41498757,11.3647991,3.349029262,3.014953456
29.17810721,10.19398944,3.593771286,2.847653654
25.87036729,10.18912277,3.541676446,3.127370771
18.75541033,9.664242258,3.307649681,3.517367529
21.57756207,10.96059979,3.353135073,3.371069397
25.44088974,10.04144297,3.654532137,3.070103668
21.30219781,9.638155745,3.168184777,2.937233077
24.43183008,11.57012389,3.416314192,3.074719229
29.0517051,11.03777406,4.087383666,3.118240163
23.18655859,11.16906815,3.785040258,3.171612682
19.4966945,9.898568352,3.312894188,3.044174115
21.99339717,10.54828091,3.514023557,3.3253219
21.82027462,10.81828456,3.876895401,3.41995838
17.95886393,10.09496067,3.260987837,2.962494067
19.34298618,11.08510226,3.520185261,3.79071566
21.53659357,11.27123589,4.374604371,4.131879145
18.85165652,10.84721607,4.073591071,3.681843585
