svm_mean,svm_std,d_svm_mean,d_svm_std
9.889004016,2.923389072,0.617727454,1.067201991
10.44985449,4.680160859,1.212252219,1.487855929
10.51535365,4.093792411,0.939494091,1.286648239
10.11227479,2.681722672,0.564681693,0.662365027
10.10827427,4.136471842,0.9077619,1.011365025
10.09095136,4.77049846,1.256769422,1.193045514
10.15935944,5.13578472,1.354767776,1.382266959
10.08217634,6.041210318,1.43990422,1.560825105
10.52286169,5.472332683,1.272356047,1.448086652
10.8886107,5.422223672,1.295830806,1.493013648
10.83131541,5.969731311,1.601385072,1.841795457
10.99958139,5.04893934,1.597765924,1.999101412
10.79340407,5.02251773,1.476224871,1.762128555
10.77715563,5.968174231,1.596879075,2.06525148
10.85852911,5.300741549,1.534994348,1.971922665
10.70219984,4.756032496,1.352785898,1.297039215
10.93241675,5.481215409,1.660890099,1.54111192
10.5346783,4.830702938,1.360752754,1.446485263
10.50064715,4.820149241,1.163079985,1.217082645
11.15035742,5.059776477,1.39853915,1.284705177
10.84573895,4.870789734,1.356501824,1.460032666
