svm_mean,svm_std,d_svm_mean,d_svm_std
11.17673765,8.724901646,2.83976009,8.082765541
12.86615562,11.6999147,5.813362065,10.41386735
11.43514069,9.313142946,3.695230803,8.772091009
10.55161907,6.570723541,1.80343052,6.531445823
13.0347381,11.03103622,4.801140886,10.38200263
15.46314977,14.06003412,7.864269402,12.95372223
16.53752357,14.95373834,8.986787547,13.67436849
17.46026382,15.67494925,9.554753747,13.84878417
15.77098688,14.09515489,7.663152813,12.15589252
13.17688017,10.72207622,4.506618369,9.193656864
12.33243417,9.862782325,3.787562559,9.047960038
10.75758304,7.426830306,2.194582681,7.297296821
11.64057583,7.249288997,2.222968204,6.138262825
12.93021871,9.802276457,4.561599133,8.271715691
13.85354778,12.93124959,6.48759723,12.4581547
15.25800921,14.52666639,7.508006319,14.60781707
14.73410259,13.64484829,7.224845463,13.78251391
15.19000834,14.05186126,7.651048728,13.6590589
15.06479928,13.5702229,7.208914677,12.83729823
13.92849633,11.77114435,5.76618727,10.56601783
13.63730233,10.10668632,4.815777617,9.066803515
13.08100179,8.815885151,4.474860788,8.534405956
12.45473592,9.806857066,4.873367034,9.698986035
12.92112812,11.41104784,5.290953183,10.54787299
13.69076958,12.47277229,5.865764213,11.45388615
14.18973556,13.01620474,6.04458698,11.31463412
14.3307433,13.22140348,6.338615166,12.41968669
14.1893129,13.43352933,6.583153284,12.98923672
14.73482048,13.38973655,6.542793266,12.30365588
13.82039091,12.55856658,5.484361436,11.45320455
10.95793847,8.225574215,2.391453882,7.891396548
11.94130786,9.850934525,4.94945129,9.756027926
12.42486936,11.10293554,6.000292696,10.70174635
11.31470312,9.383328351,4.240399531,9.024831805
10.85300019,7.894899662,3.214174452,7.986997204
11.70146717,9.429909456,4.446440792,8.858757175
12.19410795,11.31652942,5.854942444,9.997042394
12.55906303,12.62036437,6.288095675,10.90443436
13.1837542,13.4319656,6.526086831,11.79354739
13.76328655,13.77313187,6.799411221,12.82902457
13.4571543,13.44513362,6.416641573,12.60974245
13.35452267,13.38677444,6.487528822,12.56698605
13.03855609,12.76723975,6.118687094,12.21981566
12.79045606,12.06080304,5.44545857,11.23248859
12.73806029,12.40426912,5.387264793,10.95853439
12.73603701,13.35718284,6.507758157,11.82891181
13.05896036,13.32963697,6.280916968,11.69786615
13.19065431,13.04007599,5.872147598,12.14339489
14.18795059,13.75498353,6.195611802,13.00012366
14.22519964,13.07913853,6.069181227,11.71640244
14.08211039,13.36301954,6.479709597,12.39426445
13.92830354,13.47235996,6.033626035,12.72314671
14.5472671,13.86985276,6.15174713,13.03640911
13.477357,13.40773264,5.901082965,13.18334651
13.65339724,13.33084483,6.424449923,12.49538727
13.23366137,12.28988506,5.982134562,11.54125999
12.80833071,12.049056,5.76142424,11.36611205
