svm_mean,svm_std,d_svm_mean,d_svm_std
9.778782021,0.371519082,0.172233459,0.281583492
9.7556971,0.084271149,0.057800181,0.05643992
9.762106179,0.194154291,0.113652928,0.18295711
9.738364103,0.264261346,0.134490034,0.182577062
9.751031709,0.552897025,0.167173734,0.557369827
9.783413076,0.532748138,0.161889613,0.561629054
9.735173028,0.361851155,0.148519004,0.190515076
9.686057822,0.348932427,0.139803702,0.177310206
9.680488291,0.102071684,0.063269813,0.055239767
9.68084496,0.164063484,0.088741077,0.109183229
9.679626998,0.194312622,0.114551121,0.119488636
9.673583408,0.159746149,0.099327007,0.085491575
9.673549726,0.122957199,0.079593611,0.068461434
9.6771558,0.06639624,0.05516399,0.04837845
9.674797594,0.086524792,0.058768413,0.046453664
9.680354024,0.13791978,0.074720871,0.064030489
9.669266048,0.167727384,0.079725342,0.08270783
9.663434103,0.166558285,0.073473015,0.073515607
9.67376354,0.119905378,0.05510775,0.051240957
9.671742877,0.055183398,0.043805545,0.03814493
9.671325485,0.056911299,0.04763456,0.037098249
9.674171267,0.092984093,0.072153697,0.084756485
9.669398327,0.110795098,0.084025985,0.092519376
9.670503527,0.093497799,0.059508886,0.056624004
9.674244876,0.069746835,0.044426153,0.041501954
9.673163466,0.058787417,0.046984034,0.04565996
9.675157328,0.057148608,0.045867198,0.038723708
9.674216186,0.133438672,0.061730908,0.065916423
9.675325478,0.138854482,0.061982091,0.065872928
9.677681169,0.087564785,0.056209076,0.058982097
9.682117223,0.120229809,0.102830643,0.116830177
9.683000448,0.144027798,0.138075056,0.138608759
9.682255429,0.13224437,0.114678528,0.126965568
9.685601305,0.096247378,0.078078167,0.088165713
9.683649713,0.078038931,0.070197345,0.066699528
9.677771448,0.085603123,0.072669071,0.078320041
9.677631228,0.076104861,0.057822142,0.065727864
9.674876335,0.054372625,0.044115643,0.038558691
9.672189888,0.078883456,0.052300773,0.057572664
9.672436154,0.099058244,0.06464444,0.074318684
9.671501997,0.224856615,0.074061654,0.090860686
9.681835694,0.282646945,0.080030609,0.094237242
9.688757063,0.228813703,0.080252595,0.084919645
9.685072471,0.239772587,0.093239151,0.104018011
