svm_mean,svm_std,d_svm_mean,d_svm_std
9.964620117,0.114930394,0.066136811,0.066382788
9.979278645,0.10698041,0.058108194,0.054362979
9.971780178,0.078670819,0.053727973,0.042646093
9.961762411,0.072896933,0.054287357,0.041908986
9.956851205,0.059216186,0.050248416,0.036379185
9.956381937,0.056706494,0.047566279,0.035756013
9.957186232,0.05444477,0.045068217,0.035862903
9.955713132,0.053856992,0.045050837,0.033694466
9.954076713,0.054650349,0.044814972,0.035254845
9.955169593,0.051554948,0.042866296,0.033310232
9.955891823,0.043531308,0.039146888,0.028624982
9.953295996,0.045975393,0.040943808,0.030161947
9.949739056,0.045225389,0.041577846,0.030131806
9.950360645,0.04346433,0.039630937,0.029975075
9.949720488,0.045990083,0.039521423,0.030998254
9.94846511,0.052298708,0.043494988,0.03653698
9.946906628,0.063295794,0.052181936,0.041784138
9.945451341,0.066174534,0.055468381,0.040519022
9.946935061,0.057403503,0.048173946,0.035775389
9.947099836,0.049171078,0.042566251,0.032612172
9.945970537,0.051802275,0.044284174,0.035331246
9.943865154,0.055020567,0.046444727,0.035136872
9.942563866,0.058560603,0.049698535,0.037276248
10.01471455,0.269869919,0.070383196,0.084248858
9.761733148,0.873522636,0.235234544,0.495471014
9.452569756,0.769829609,0.208907993,0.498401343
9.471456679,0.043654738,0.035649006,0.03167031
9.480508507,0.042826489,0.036182715,0.029781856
9.48456844,0.041141102,0.035272031,0.033163311
9.481429394,0.041419023,0.036331611,0.03723251
9.479706837,0.038502036,0.034904911,0.031221831
9.48147474,0.036618479,0.032553793,0.026368202
9.483553355,0.037928953,0.033927335,0.027606658
9.48069167,0.035910617,0.032828689,0.026449279
9.479886198,0.035112123,0.03104701,0.025218224
9.481737093,0.037772443,0.032607667,0.026793653
9.484190763,0.039394151,0.033260178,0.028473688
9.484328309,0.037815796,0.032465026,0.026967438
9.483447756,0.037182253,0.033810432,0.026280371
9.48215955,0.036245533,0.032540092,0.025802099
9.482334477,0.035541518,0.031424351,0.024669022
9.484138247,0.036890247,0.032885694,0.025283809
9.481224863,0.037220592,0.032278045,0.027005522
9.48129991,0.035279329,0.031677992,0.028916772
9.482389371,0.03629141,0.03313489,0.028111567
9.48086799,0.038806124,0.034417096,0.027493184
9.482313519,0.036039892,0.03178015,0.025407091
