svm_mean,svm_std,d_svm_mean,d_svm_std
27.08399006,18.16126445,4.095768431,4.760338709
31.53867932,19.43029361,5.335004027,5.735101698
37.21334226,20.35177669,6.061072058,6.156172769
33.03097309,19.64610233,5.539048705,5.587232822
23.85038702,16.52388545,4.514342395,6.040161655
25.78359101,16.39963578,4.209186937,6.36362402
29.31351303,15.16687078,4.643752883,5.156272149
27.81618641,16.60011944,5.364206581,6.020778594
29.13193583,18.06234485,5.185885834,6.599638118
37.31525951,21.66418527,4.632915326,5.248705702
42.32668137,20.86487064,6.046138053,5.853800997
44.03840475,20.60762394,8.036876174,7.680889996
44.43392692,21.78196678,7.324367726,6.982898555
42.86923625,21.43852552,7.12825737,7.508735193
48.28229527,21.37559154,8.705689576,8.373979157
45.15537749,19.75047535,7.394202941,6.702558496
29.28020022,16.17989206,5.60094176,7.167909907
22.25626508,12.22344297,4.769397258,6.662959458
22.37405196,12.9505232,4.497717185,4.853289619
35.47087861,23.10052304,6.474992595,7.523996646
42.88588363,21.22907719,8.095043188,9.089342925
35.82110748,18.44057055,8.537260552,9.026526867
32.80396569,17.45771023,9.327312389,8.917698511
31.43579689,16.17386704,7.561513985,7.692269509
25.72959221,14.7281269,4.621042724,5.501942154
30.89675919,21.58352001,4.5161925,6.211378564
37.32288898,22.38874268,4.813630855,5.755996015
30.16137548,19.59408932,4.212776735,4.444398398
29.57113257,18.96569662,6.68382948,7.520909375
29.67494321,16.50811539,6.880009839,7.964132901
