svm_mean,svm_std,d_svm_mean,d_svm_std
18.14040122,7.88539806,5.175039875,4.688106783
18.28013736,6.916802203,4.478598038,4.299845164
19.25005521,7.731089185,5.470084184,5.711010802
19.50813793,7.401530639,5.77182866,5.55357105
17.9617687,5.839748833,5.179026353,4.290618658
17.36778633,6.048825436,5.335996443,4.510326242
17.51720446,6.235402692,5.329602133,4.856645915
17.51160513,6.266228343,5.540482536,4.962266166
16.6910327,5.584930288,5.035872424,4.333398061
17.7287119,6.359910773,4.898636183,4.271049515
17.85102685,6.554463233,4.881781263,4.294397049
17.38269566,5.596403197,4.531354703,4.046559544
17.47352432,5.695772252,4.868652927,4.327339159
16.46477801,5.626569511,4.851850393,4.180072858
15.91131418,5.198836697,4.338262545,3.787333002
16.32260903,5.542153382,4.810072573,4.202174553
16.57373508,6.177019399,5.400505847,4.770584344
17.33190553,6.377363272,5.14422294,4.547360585
17.86366122,5.936409181,4.575993864,4.03918773
17.74133518,5.681456924,4.605206985,3.962836805
17.73306353,6.14885163,4.829659269,4.059066406
17.96482421,8.69260229,4.635819324,4.431469218
